"","route","count"
"291","110012->110015",51
"292","110012->110018",17
"293","110012->110020",120
"294","110012->110025",9
"295","110012->110030",7
"296","110012->110033",3
"297","110012->110034",1
"298","110012->110040",3
"299","110012->110045",1
"300","110012->110080",2
"301","110012->110090",1
"302","110012->110094",4
"303","110012->110110",7
"304","110012->110120",1
"305","110012->110140",1
"306","110012->110143",5
"307","110012->110145",3
"308","110012->110148",1
"309","110012->110149",3
"310","110012->110150",1
"311","110012->110155",1
"312","110012->110160",1
"313","110012->110170",1
"314","110012->110180",214
"315","110013->110001",11
"316","110013->110002",1283
"317","110013->110004",144
"318","110013->110005",24
"319","110013->110006",17
"320","110013->110007",7
"321","110013->110008",2
"322","110013->110009",52
"323","110013->110010",11
"324","110013->110011",924
"325","110013->110012",1180
"326","110013->110014",9
"327","110013->110015",580
"328","110013->110018",29
"329","110013->110020",421
"330","110013->110025",130
"331","110013->110026",63
"332","110013->110028",69
"333","110013->110030",83
"334","110013->110032",14
"335","110013->110033",9
"336","110013->110034",47
"337","110013->110037",5
"338","110013->110040",37
"339","110013->110045",73
"340","110013->110050",9
"341","110013->110060",35
"342","110013->110070",12
"343","110013->110080",15
"344","110013->110090",2
"345","110013->110092",2
"346","110013->110094",272
"347","110013->110100",51
"348","110013->110110",19
"349","110013->110120",5
"350","110013->110130",140
"351","110013->110140",51
"352","110013->110143",37
"353","110013->110145",1
"354","110013->110147",1
"355","110013->110149",25
"356","110013->110150",8
"357","110013->110155",25
"358","110013->110160",185
"359","110013->110170",94
"360","110013->110175",716
"361","110013->110180",179
"362","110014->110001",2
"363","110014->110002",2
"364","110014->110004",11
"365","110014->110011",1
"366","110014->110012",11
"367","110014->110013",1
"368","110014->110020",11
"369","110014->110025",42
"370","110014->110028",25
"371","110014->110030",2
"372","110014->110034",101
"373","110014->110050",9
"374","110014->110090",36
"375","110014->110092",1
"376","110014->110094",1
"377","110014->110130",1
"378","110014->110150",3
"379","110014->110175",1
"380","110015->110002",13
"381","110015->110009",1
"382","110015->110010",3
"383","110015->110011",3
"384","110015->110012",90
"385","110015->110013",2
"386","110015->110018",3
"387","110015->110020",65
"388","110015->110025",1
"389","110015->110030",4
"390","110015->110033",1
"391","110015->110045",1
"392","110015->110094",1
"393","110015->110110",1
"394","110015->110149",1
"395","110015->110170",2
"396","110015->110175",1
"397","110015->110180",19
"398","110018->110002",5
"399","110018->110004",28
"400","110018->110009",73
"401","110018->110011",1
"402","110018->110012",5
"403","110018->110013",2
"404","110018->110020",41
"405","110018->110025",1
"406","110018->110028",14
"407","110018->110030",35
"408","110018->110034",1
"409","110018->110037",1
"410","110018->110092",8
"411","110018->110094",1
"412","110018->110147",2
"413","110018->110149",4
"414","110018->110155",1
"415","110018->110160",1
"416","110020->110001",187
"417","110020->110002",1723
"418","110020->110003",20
"419","110020->110004",723
"420","110020->110005",177
"421","110020->110006",54
"422","110020->110007",18
"423","110020->110008",30
"424","110020->110009",174
"425","110020->110010",1312
"426","110020->110011",1870
"427","110020->110012",1035
"428","110020->110013",428
"429","110020->110014",292
"430","110020->110015",562
"431","110020->110018",254
"432","110020->110025",494
"433","110020->110026",25
"434","110020->110028",528
"435","110020->110029",86
"436","110020->110030",785
"437","110020->110032",124
"438","110020->110033",3294
"439","110020->110034",144
"440","110020->110037",83
"441","110020->110040",1036
"442","110020->110045",14202
"443","110020->110050",98
"444","110020->110060",75
"445","110020->110070",91
"446","110020->110080",3673
"447","110020->110090",19
"448","110020->110092",26
"449","110020->110094",443
"450","110020->110100",257
"451","110020->110110",214
"452","110020->110120",56
"453","110020->110130",383
"454","110020->110140",167
"455","110020->110143",86
"456","110020->110145",19
"457","110020->110146",2
"458","110020->110147",3
"459","110020->110148",4
"460","110020->110149",103
"461","110020->110150",45
"462","110020->110155",11
"463","110020->110160",93
"464","110020->110170",159
"465","110020->110175",40
"466","110020->110180",50
"467","110025->110001",1
"468","110025->110002",1
"469","110025->110004",10
"470","110025->110008",1
"471","110025->110009",1
"472","110025->110010",1
"473","110025->110012",65
"474","110025->110014",1
"475","110025->110015",1
"476","110025->110020",21
"477","110025->110030",1
"478","110025->110033",2
"479","110025->110034",21
"480","110025->110037",1
"481","110025->110040",2
"482","110025->110094",1
"483","110025->110130",1
"484","110025->110149",1
"485","110025->110170",2
"486","110026->110002",1256
"487","110026->110004",4
"488","110026->110010",1
"489","110026->110011",63
"490","110026->110012",17
"491","110026->110013",17
"492","110026->110015",9
"493","110026->110020",26
"494","110026->110025",3
"495","110026->110028",17
