"","route","count"
"291","110002->330240",1
"292","110002->330455",2
"293","110002->330630",1
"294","110002->350210",1
"295","110002->350280",2
"296","110002->350600",1
"297","110002->350950",20
"298","110002->351110",2
"299","110002->351890",1
"300","110002->352320",1
"301","110002->352900",4
"302","110002->353060",3
"303","110002->353980",1
"304","110002->354140",3
"305","110002->354340",7
"306","110002->354520",1
"307","110002->354780",1
"308","110002->354980",5
"309","110002->355030",19
"310","110002->355220",3
"311","110002->355430",1
"312","110002->355490",2
"313","110002->410180",1
"314","110002->410200",2
"315","110002->410305",1
"316","110002->410345",1
"317","110002->410360",4
"318","110002->410420",1
"319","110002->410430",4
"320","110002->410470",1
"321","110002->410480",10
"322","110002->410510",1
"323","110002->410690",23
"324","110002->410830",13
"325","110002->410860",1
"326","110002->410880",2
"327","110002->410940",1
"328","110002->410980",1
"329","110002->411095",1
"330","110002->411160",1
"331","110002->411350",1
"332","110002->411370",4
"333","110002->411400",1
"334","110002->411410",1
"335","110002->411420",2
"336","110002->411435",1
"337","110002->411460",1
"338","110002->411500",1
"339","110002->411520",5
"340","110002->411580",1
"341","110002->411590",1
"342","110002->411605",1
"343","110002->411610",1
"344","110002->411780",1
"345","110002->411840",1
"346","110002->411850",3
"347","110002->412060",2
"348","110002->412140",1
"349","110002->412350",1
"350","110002->412405",1
"351","110002->412570",1
"352","110002->412625",3
"353","110002->412710",1
"354","110002->412740",1
"355","110002->412770",1
"356","110002->412810",4
"357","110002->420210",1
"358","110002->420280",2
"359","110002->420460",2
"360","110002->420540",1
"361","110002->420650",3
"362","110002->420820",1
"363","110002->420830",1
"364","110002->420890",3
"365","110002->420910",1
"366","110002->421010",1
"367","110002->421580",2
"368","110002->421720",5
"369","110002->421820",2
"370","110002->421870",2
"371","110002->430210",1
"372","110002->430510",1
"373","110002->430700",1
"374","110002->431410",1
"375","110002->431490",4
"376","110002->431690",1
"377","110002->432150",1
"378","110002->432240",1
"379","110002->432280",2
"380","110002->500240",1
"381","110002->500270",10
"382","110002->500290",1
"383","110002->500330",2
"384","110002->500345",1
"385","110002->500370",3
"386","110002->500380",1
"387","110002->500470",1
"388","110002->500570",1
"389","110002->500769",2
"390","110002->500830",1
"391","110002->510020",3
"392","110002->510025",2
"393","110002->510080",2
"394","110002->510125",1
"395","110002->510130",7
"396","110002->510140",5
"397","110002->510170",1
"398","110002->510250",4
"399","110002->510263",6
"400","110002->510267",1
"401","110002->510279",5
"402","110002->510325",83
"403","110002->510330",18
"404","110002->510337",1
"405","110002->510340",56
"406","110002->510410",1
"407","110002->510450",1
"408","110002->510480",2
"409","110002->510510",1
"410","110002->510515",98
"411","110002->510525",6
"412","110002->510560",2
"413","110002->510562",1
"414","110002->510600",2
"415","110002->510618",10
"416","110002->510623",2
"417","110002->510629",3
"418","110002->510642",6
"419","110002->510675",114
"420","110002->510704",3
"421","110002->510710",2
"422","110002->510730",3
"423","110002->510757",3
"424","110002->510760",9
"425","110002->510770",1
"426","110002->510787",23
"427","110002->510790",7
"428","110002->510792",1
"429","110002->510795",10
"430","110002->510805",3
"431","110002->520140",4
"432","110002->520150",1
"433","110002->520870",9
"434","110002->521010",1
"435","110002->521020",1
"436","110002->521090",1
"437","110002->521190",4
"438","110002->521308",1
"439","110002->521880",1
"440","110002->521930",1
"441","110002->522010",1
"442","110002->522150",1
"443","110002->522185",1
"444","110002->530010",9
"445","110003->110005",14
"446","110003->110006",11
"447","110003->110011",3
"448","110003->110018",1
"449","110003->110020",3
"450","110003->110030",9
"451","110003->110140",1
"452","110003->110148",1
"453","110003->130260",3
"454","110003->150815",1
"455","110003->210095",1
"456","110003->210530",1
"457","110003->210860",1
"458","110003->211102",1
"459","110003->211230",1
"460","110003->320520",1
"461","110003->420710",1
"462","110003->430050",1
"463","110003->510330",3
"464","110003->510340",3
"465","110003->510517",1
"466","110004->110001",1
"467","110004->110002",11
"468","110004->110005",2
"469","110004->110008",4
"470","110004->110009",7
"471","110004->110010",1
"472","110004->110011",3
"473","110004->110012",1
"474","110004->110013",3
"475","110004->110014",1
"476","110004->110015",1
"477","110004->110018",1
"478","110004->110020",63
"479","110004->110028",2
"480","110004->110030",2
"481","110004->110033",2
"482","110004->110040",1
"483","110004->110045",1
"484","110004->110050",1
"485","110004->110070",1
"486","110004->110080",4
"487","110004->110094",1
"488","110004->110110",1
"489","110004->110120",2
"490","110004->110140",3
"491","110004->110149",2
"492","110004->110150",1
"493","110004->110175",1
"494","110004->110180",1
"495","110004->120040",2
"496","110004->120050",1
"497","110004->130110",2
"498","110004->130250",1
"499","110004->130260",2
"500","110004->130330",1
"501","110004->130356",1
"502","110004->140010",3
"503","110004->172120",1
"504","110004->210095",2
"505","110004->210160",1
"506","110004->210317",1
"507","110004->210740",1
"508","110004->210810",1
"509","110004->231400",1
"510","110004->231410",2
"511","110004->261160",1
"512","110004->291320",1
"513","110004->310400",2
"514","110004->310620",3
"515","110004->312770",1
"516","110004->313510",1
"517","110004->314800",2
"518","110004->314810",1
"519","110004->317130",1
"520","110004->320240",1
"521","110004->320490",7
"522","110004->320500",2
"523","110004->320515",1
"524","110004->350600",1
"525","110004->352590",1
"526","110004->352940",1
"527","110004->354340",1
"528","110004->354980",1
"529","110004->355030",1
"530","110004->410180",1
"531","110004->410400",1
"532","110004->410420",1
"533","110004->410430",1
"534","110004->410480",1
"535","110004->410690",2
"536","110004->410880",1
"537","110004->412730",1
"538","110004->412800",1
"539","110004->420140",1
"540","110004->420820",1
"541","110004->421755",1
"542","110004->421760",1
"543","110004->431190",1
"544","110004->431690",1
"545","110004->500270",2
"546","110004->500330",1
"547","110004->500620",1
"548","110004->500769",1
"549","110004->510050",2
"550","110004->510130",1
"551","110004->510250",3
"552","110004->510263",1
"553","110004->510267",1
"554","110004->510325",2
"555","110004->510330",2
"556","110004->510336",2
"557","110004->510340",6
"558","110004->510350",3
"559","110004->510410",2
"560","110004->510480",1
"561","110004->510515",77
"562","110004->510520",1
"563","110004->510525",3
"564","110004->510600",2
"565","110004->510622",1
"566","110004->510704",3
"567","110004->510730",1
"568","110004->510760",1
"569","110004->510787",9
"570","110004->510790",2
"571","110004->510792",1
"572","110004->510795",1
"573","110004->520870",3
"574","110004->530010",1
"575","110005->110002",1
"576","110005->110009",1
"577","110005->110010",1
"578","110005->110020",5
"579","110005->110028",1
"580","110005->110030",5
"581","110005->110040",1
"582","110005->110045",1
"583","110005->110146",2
"584","110005->317010",1
"585","110005->350280",1
"586","110005->351380",1
"587","110005->410720",1
"588","110005->510330",1
"589","110005->510340",1
"590","110005->510500",1
"591","110005->521900",1
"592","110006->110005",1
"593","110006->110013",1
"594","110006->110020",6
"595","110006->110028",1
"596","110006->110030",4
"597","110006->110040",1
"598","110006->110090",1
"599","110006->110140",1
"600","110006->110149",1
"601","110006->130170",2
"602","110006->130260",1
"603","110006->150210",1
"604","110006->510340",1
"605","110006->510515",2
"606","110007->110004",2
"607","110007->110005",74
"608","110007->110006",7
"609","110007->110012",1
"610","110007->110018",1
"611","110007->110020",3
"612","110007->110028",1
"613","110007->110029",3
"614","110007->110030",10
"615","110007->320500",1
"616","110008->110001",8
"617","110008->110002",3
"618","110008->110003",1
"619","110008->110004",30
"620","110008->110005",2
"621","110008->110006",3
"622","110008->110007",1
"623","110008->110009",2
"624","110008->110010",45
"625","110008->110011",5
"626","110008->110012",42
"627","110008->110013",1
"628","110008->110014",4
"629","110008->110015",2
"630","110008->110018",5
"631","110008->110020",48
"632","110008->110025",19
"633","110008->110028",41
"634","110008->110029",11
"635","110008->110030",11
"636","110008->110032",31
"637","110008->110033",2
"638","110008->110034",58
"639","110008->110037",2
"640","110008->110050",12
"641","110008->110080",3
"642","110008->110090",2
"643","110008->110094",1
"644","110008->110120",3
"645","110008->110140",1
"646","110008->110143",1
"647","110008->110149",175
"648","110008->110150",7
"649","110008->110170",2
"650","110008->110175",1
"651","110008->120001",1
"652","110008->120045",1
"653","110008->130170",4
"654","110008->130185",1
"655","110008->130260",1
"656","110008->317020",1
"657","110008->354980",1
"658","110008->410690",1
"659","110008->410830",1
"660","110008->411350",1
"661","110008->421720",1
"662","110008->500270",1
"663","110008->510140",1
"664","110008->510170",1
"665","110008->510340",2
"666","110008->510675",1
"667","110008->510795",1
"668","110008->530010",1
"669","110009->110001",1
"670","110009->110002",17
"671","110009->110004",3495
"672","110009->110005",2
"673","110009->110010",3
"674","110009->110011",6
"675","110009->110012",44
"676","110009->110013",3
"677","110009->110015",4
"678","110009->110018",108
"679","110009->110020",39
"680","110009->110025",10
"681","110009->110026",2
"682","110009->110028",22
"683","110009->110029",2
"684","110009->110030",42
"685","110009->110032",5
"686","110009->110033",1
"687","110009->110034",1
"688","110009->110037",7
"689","110009->110040",1
"690","110009->110045",6
"691","110009->110050",2
"692","110009->110070",4
"693","110009->110092",3
"694","110009->110094",1
"695","110009->110110",1
"696","110009->110130",1
"697","110009->110143",14
"698","110009->110145",5
"699","110009->110146",1
"700","110009->110150",2
"701","110009->110160",2
"702","110009->120038",1
"703","110009->130260",2
"704","110009->130330",2
"705","110009->150360",1
"706","110009->150745",1
"707","110009->310400",1
"708","110009->310620",5
"709","110009->317020",2
"710","110009->320290",1
"711","110009->320320",2
"712","110009->320490",4
"713","110009->350280",1
"714","110009->352710",1
"715","110009->354340",1
"716","110009->410830",3
"717","110009->420820",1
"718","110009->430370",1
"719","110009->431848",4
"720","110009->500270",1
"721","110009->500830",1
"722","110009->510025",3
"723","110009->510080",1
"724","110009->510130",5
"725","110009->510140",4
"726","110009->510180",1
"727","110009->510285",2
"728","110009->510325",4
"729","110009->510330",3
"730","110009->510337",2
"731","110009->510340",10
"732","110009->510410",1
"733","110009->510515",66
"734","110009->510520",3
"735","110009->510600",4
"736","110009->510615",1
"737","110009->510629",1
"738","110009->510675",3
"739","110009->510704",4
"740","110009->510760",3
"741","110009->510787",1
"742","110009->510790",2
"743","110009->510792",1
"744","110009->521190",1
"745","110009->530010",2
"746","110010->110001",5
"747","110010->110002",26
"748","110010->110004",17
"749","110010->110005",2
"750","110010->110006",2
"751","110010->110007",3
"752","110010->110008",246
"753","110010->110009",15
"754","110010->110011",16
"755","110010->110012",25
"756","110010->110013",2
"757","110010->110014",1
"758","110010->110015",18
"759","110010->110018",1
"760","110010->110020",646
"761","110010->110025",4
"762","110010->110028",2
"763","110010->110030",19
"764","110010->110032",3
"765","110010->110033",522
"766","110010->110034",9
"767","110010->110037",1
"768","110010->110040",3
"769","110010->110045",5
"770","110010->110050",1
"771","110010->110060",5
"772","110010->110070",4
"773","110010->110080",7
"774","110010->110090",1
"775","110010->110094",3
"776","110010->110100",1
"777","110010->110110",4
"778","110010->110130",1
"779","110010->110140",3
"780","110010->110143",1
"781","110010->110146",3
"782","110010->110149",3
"783","110010->110150",3
"784","110010->110155",23
"785","110010->110160",3
"786","110010->110170",7
"787","110010->110180",8
"788","110010->120001",2
"789","110010->120010",1
"790","110010->120025",2
"791","110010->120040",19
"792","110010->130014",1
"793","110010->130070",1
"794","110010->130170",12
"795","110010->130240",1
"796","110010->130260",7
"797","110010->130270",1
"798","110010->130340",1
"799","110010->130353",1
"800","110010->140010",1
"801","110010->150140",1
"802","110010->150293",1
"803","110010->150800",1
"804","110010->210745",1
"805","110010->210900",1
"806","110010->220120",1
"807","110010->231360",1
"808","110010->280030",1
"809","110010->310350",2
"810","110010->310620",3
"811","110010->312610",1
"812","110010->316860",1
"813","110010->317020",4
"814","110010->317130",4
"815","110010->330380",1
"816","110010->330455",1
"817","110010->350950",3
"818","110010->354980",2
"819","110010->355030",2
"820","110010->355580",1
"821","110010->410700",1
"822","110010->411370",1
"823","110010->411480",1
"824","110010->412810",1
"825","110010->420200",2
"826","110010->420640",3
"827","110010->421720",1
"828","110010->421870",1
"829","110010->431410",1
"830","110010->432110",1
"831","110010->500270",2
"832","110010->500370",1
"833","110010->510140",1
"834","110010->510250",1
"835","110010->510330",1
"836","110010->510340",14
"837","110010->510675",3
"838","110010->510760",2
"839","110010->510787",1
"840","110010->520870",4
"841","110010->530010",1
"842","110011->110001",2
"843","110011->110002",41
"844","110011->110004",5
"845","110011->110005",1
"846","110011->110006",1
"847","110011->110008",1
"848","110011->110009",10
"849","110011->110010",3
"850","110011->110012",49
"851","110011->110013",19
"852","110011->110014",1
"853","110011->110015",35
"854","110011->110018",1
"855","110011->110020",91
"856","110011->110025",7
"857","110011->110028",3
"858","110011->110029",2
"859","110011->110030",7
"860","110011->110033",9
"861","110011->110034",2
"862","110011->110037",1
"863","110011->110040",3
"864","110011->110045",6
"865","110011->110060",11
"866","110011->110070",3
"867","110011->110080",5
"868","110011->110094",5
"869","110011->110100",6
"870","110011->110110",2
"871","110011->110130",8
"872","110011->110140",2
"873","110011->110143",3
"874","110011->110149",2
"875","110011->110155",1
"876","110011->110160",12
"877","110011->110170",1
"878","110011->110175",5
"879","110011->110180",13
"880","110011->120040",1
"881","110011->120050",1
"882","110011->130014",6
"883","110011->130170",3
"884","110011->130260",1
"885","110011->130330",5
"886","110011->140047",1
"887","110011->150795",1
"888","110011->210530",1
"889","110011->210540",3
