"","year","radius_avg","months_avg","num_clusters"
"1",2004,113.436145700233,4.13953488372093,15
"2",2005,141.140294189342,2.47826086956522,17
"3",2006,143.503900615429,2.48484848484848,16
"4",2007,126.70623072418,1.92307692307692,19
"5",2008,113.830498513293,2.13333333333333,22
"6",2009,88.2672837903261,2.04347826086957,17
"7",2010,16.8745585639733,2.53333333333333,13
"8",2011,72.0019847365556,3.83333333333333,10
"9",2012,141.633316369115,1.43636363636364,14
"10",2013,42.7118429061739,2.30434782608696,18
"11",2014,58.3372374291389,3.5,12
"12",2015,77.8379024694882,2.88235294117647,8
"13",2016,105.00702737245,3.5,4
"14",2017,74.781222880724,2.24,13
"15",2018,91.2965828896565,2.30434782608696,11
"16",2019,93.2112062458619,3.04761904761905,10
"17",2020,0,2.6,5
"18",2021,0,4,2
"19",2022,0,4,1
