"","year","radius_avg","months_avg","num_clusters"
"1",2004,870.422075460037,4.89328063241107,9
"2",2005,927.799494550065,4.88127853881279,9
"3",2006,989.528804600445,4.96078431372549,5
"4",2007,1213.75531472562,4.98173515981735,5
"5",2008,1112.8522776403,5,2
"6",2009,1096.0013168758,4.95336787564767,3
"7",2010,662.269132259495,4.98190045248869,4
"8",2011,552.253423419842,4.19117647058824,3
"9",2012,885.252246132136,5,2
"10",2013,1400.66028166022,4.98076923076923,3
"11",2014,979.650429057254,4.98496240601504,5
"12",2015,1413.17340949634,5,4
"13",2016,1029.09056716211,4.96506550218341,4
"14",2017,1133.84066094984,4.98591549295775,3
"15",2018,1176.39892033766,4.97142857142857,3
"16",2019,1378.82746227998,4.97887323943662,2
"17",2020,1247.80188930343,4.85714285714286,4
"18",2021,874.154416628208,4.75722543352601,5
"19",2022,400.909285996072,4.16030534351145,4
